WORD	INDEX
the	0
,	1
>	2
<	3
/br	4
.	5
of	6
to	7
a	8
in	9
and	10
that	11
for	12
's	13
is	14
on	15
as	16
at	17
it	18
''	19
by	20
``	21
$	22
with	23
from	24
was	25
said	26
are	27
%	28
but	29
have	30
has	31
be	32
its	33
an	34
this	35
--	36
more	37
market	38
will	39
or	40
year	41
they	42
than	43
u.s.	44
he	45
their	46
would	47
which	48
about	49
up	50
stock	51
not	52
were	53
percent	54
economic	55
last	56
some	57
new	58
economy	59
been	60
prices	61
billion	62
had	63
rate	64
his	65
after	66
million	67
n't	68
other	69
when	70
one	71
who	72
inflation	73
)	74
investors	75
new_york	76
:	77
fed	78
if	79
first	80
also	81
years	82
government	83
since	84
most	85
over	86
interest_rates	87
(	88
there	89
many	90
growth	91
could	92
stocks	93
all	94
week	95
we	96
out	97
down	98
president	99
may	100
yesterday	101
now	102
federal_reserve	103
i	104
into	105
two	106
dollar	107
can	108
time	109
rose	110
what	111
financial	112
you	113
;	114
only	115
even	116
while	117
federal	118
do	119
company	120
because	121
trading	122
'	123
much	124
companies	125
higher	126
mr.	127
money	128
no	129
tax	130
such	131
bank	132
so	133
increase	134
price	135
markets	136
index	137
business	138
points	139
fell	140
people	141
month	142
today	143
rates	144
spending	145
just	146
banks	147
those	148
average	149
report	150
budget	151
analysts	152
before	153
bond	154
unemployment	155
shares	156
recent	157
next	158
still	159
?	160
during	161
any	162
says	163
months	164
high	165
past	166
day	167
according	168
these	169
three	170
lower	171
sales	172
against	173
off	174
world	175
washington	176
recession	177
dow_jones	178
how	179
them	180
1	181
state	182
rise	183
expected	184
make	185
officials	186
big	187
cut	188
through	189
less	190
board	191
major	192
deficit	193
jobs	194
american	195
back	196
like	197
inc.	198
should	199
consumer	200
administration	201
did	202
our	203
congress	204
decline	205
under	206
trade	207
another	208
say	209
late	210
end	211
well	212
made	213
economists	214
funds	215
record	216
industry	217
get	218
low	219
good	220
exchange	221
strong	222
workers	223
national	224
among	225
bonds	226
treasury	227
both	228
investment	229
credit	230
securities	231
interest	232
way	233
10	234
pay	235
early	236
wall_street	237
chairman	238
group	239
nation	240
close	241
gains	242
policy	243
corp.	244
same	245
rising	246
point	247
annual	248
reported	249
oil	250
number	251
plan	252
nearly	253
news	254
between	255
bush	256
industrial_average	257
little	258
data	259
earlier	260
friday	261
home	262
too	263
house	264
debt	265
recovery	266
however	267
-	268
part	269
country	270
then	271
share	272
might	273
capital	274
work	275
public	276
likely	277
take	278
committee	279
2	280
quarter	281
labor	282
being	283
fund	284
where	285
current	286
cents	287
does	288
system	289
going	290
earnings	291
several	292
drop	293
bill	294
foreign	295
here	296
very	297
including	298
move	299
few	300
further	301
loans	302
june	303
fiscal	304
global	305
currency	306
half	307
increases	308
july	309
days	310
costs	311
large	312
political	313
japan	314
see	315
ago	316
small	317
long	318
help	319
put	320
march	321
gain	322
keep	323
job	324
compared	325
â	326
per_cent	327
program	328
raise	329
demand	330
mortgage	331
better	332
least	333
said.	334
buy	335
3	336
increased	337
january	338
issues	339
set	340
international	341
income	342
cost	343
four	344
enough	345
around	346
continued	347
level	348
already	349
each	350
traders	351
though	352
20	353
think	354
came	355
meeting	356
april	357
housing	358
five	359
corporate	360
tuesday	361
whether	362
own	363
fall	364
crisis	365
go	366
poor	367
come	368
below	369
value	370
largest	371
ended	372
without	373
30	374
despite	375
began	376
period	377
5	378
volume	379
department	380
although	381
your	382
cuts	383
services	384
she	385
taxes	386
united_states	387
employment	388
closed	389
again	390
figures	391
monday	392
chief	393
office	394
continue	395
central_bank	396
biggest	397
almost	398
china	399
latest	400
consumers	401
yet	402
added	403
change	404
become	405
rally	406
every	407
making	408
buying	409
until	410
top	411
4	412
total	413
dropped	414
growing	415
need	416
city	417
firm	418
nasdaq	419
took	420
lost	421
short-term	422
wednesday	423
previous	424
future	425
far	426
thursday	427
best	428
weeks	429
ahead	430
losses	431
clinton	432
plans	433
sharply	434
right	435
15	436
showed	437
deal	438
americans	439
industrial	440
white_house	441
selling	442
year.	443
greenspan	444
second	445
declined	446
long-term	447
support	448
levels	449
&	450
times	451
reports	452
america	453
revenue	454
energy	455
senate	456
economist	457
technology	458
dow	459
yen	460
problems	461
told	462
management	463
called	464
benefits	465
result	466
members	467
above	468
yield	469
hit	470
session	471
cash	472
october	473
must	474
european	475
production	476
her	477
private	478
start	479
businesses	480
loan	481
sell	482
slightly	483
real	484
