term1,term2,how_similar_are_the_two_combinations,how_similar_are_the_two_combinations.variance
that pub,that pub,7,0
that cat,that cat,5,2
two frigates,two frigates,7,0
three artists,three artists,7,0
these agencies,these agencies,5.5,2.598
two helicopters,two helicopters,7,0
two jets,two jets,7,0
two countries,two countries,7,0
three bonds,three bonds,7,0
four phones,four phones,7,0
two coats,two coats,7,0
two tribes,two tribes,7,0
three departments,three departments,7,0
those countries,those countries,7,0
that wind,that wind,7,0
three occasions,three occasions,7,0
this interest,this interest,7,0
three states,three states,7,0
three manufacturers,three manufacturers,7,0
four cities,four cities,7,0
this land,this land,7,0
these beds,these beds,7,0
two leagues,two leagues,4.5,2.5
this aircraft,this aircraft,7,0
these ventures,these ventures,7,0
three boroughs,three boroughs,7,0
two agencies,two agencies,7,0
two hotels,two hotels,7,0
three interests,three interests,7,0
these bombs,these bombs,7,0
four cats,four cats,7,0
those leagues,those leagues,7,0
two trucks,two trucks,7,0
this aircraft,this aircraft,7,0
two teams,two teams,6,1.414
those states,those states,7,0
three committees,three committees,7,0
this tribe,this tribe,7,0
those towns,those towns,7,0
three treaties,three treaties,7,0
this cancer,this cancer,7,0
two bears,two bears,7,0
these clubs,these clubs,7,0
every bond,every bond,7,0
those dogs,those dogs,7,0
those counties,those counties,7,0
three dollars,three dollars,7,0
those desires,those desires,7,0
three cats,three cats,7,0
these castles,these castles,7,0
two clubs,two clubs,7,0
three pickups,three pickups,7,0
two assignments,two assignments,7,0
four manufacturers,four manufacturers,7,0
three houses,three houses,7,0
three ferries,three ferries,7,0
three boroughs,three boroughs,7,0
three coats,three coats,7,0
three rings,three rings,7,0
this cottage,this cottage,7,0
this party,this party,7,0
these extensions,these extensions,7,0
two weights,two weights,7,0
that branch,that branch,7,0
this company,this company,7,0
these vans,these vans,7,0
those assignments,those assignments,7,0
four prefectures,four prefectures,7,0
this extension,this extension,7,0
these tribes,these tribes,7,0
three funds,three funds,7,0
these states,these states,7,0
two parties,two parties,7,0
four makers,four makers,7,0
three credits,three credits,7,0
four states,four states,7,0
two pigs,two pigs,7,0
those architects,those architects,7,0
two lengths,two lengths,7,0
that land,that land,7,0
those musicians,those musicians,7,0
those chairs,those chairs,7,0
two rockets,two rockets,7,0
two tribes,two tribes,7,0
these chairs,these chairs,7,0
four bottles,four bottles,6.67,0.471
those houses,those houses,7,0
two coats,two coats,7,0
two beds,two beds,7,0
four apples,four apples,7,0
two lions,two lions,7,0
that bond,that bond,7,0
these clubs,these clubs,7,0
two boroughs,two boroughs,7,0
that ball,that ball,7,0
three clubs,three clubs,7,0
these tables,these tables,7,0
all libraries,all libraries,7,0
two kingdoms,two kingdoms,7,0
those beds,those beds,7,0
two countries,two countries,7,0
these buses,these buses,7,0
two bombs,two bombs,7,0
all interests,all interests,7,0
two households,two households,7,0
that share,that share,7,0
that castle,that castle,7,0
every hotel,every hotel,7,0
four bombers,four bombers,7,0
four hotels,four hotels,7,0
these farmers,these farmers,7,0
this train,this train,7,0
those cities,those cities,7,0
three platoons,three platoons,7,0
two bombs,two bombs,7,0
four corners,four corners,7,0
three funds,three funds,7,0
three cylinders,three cylinders,6.5,0.5
three photographers,three photographers,7,0
all musicians,all musicians,7,0
that bill,that bill,5,2.828
four parties,four parties,7,0
these hospitals,these hospitals,7,0
three chairs,three chairs,7,0
that sword,that sword,7,0
three cruisers,three cruisers,7,0
those masses,those masses,7,0
these balls,these balls,7,0
three companies,three companies,7,0
these cars,these cars,7,0
three nations,three nations,7,0
those occasions,those occasions,7,0
all horses,all horses,7,0
three hotels,three hotels,7,0
two households,two households,5.33,1.7
two bears,two bears,7,0
those ships,those ships,6,1
these tribes,these tribes,7,0
this future,this future,7,0
two conventions,two conventions,7,0
two laws,two laws,7,0
two dogs,two dogs,7,0
three chairs,three chairs,7,0
those hotels,those hotels,7,0
that town,that town,7,0
two developers,two developers,7,0
this village,this village,7,0
three villages,three villages,7,0
those rabbits,those rabbits,7,0
all agencies,all agencies,7,0
three towns,three towns,7,0
four boroughs,four boroughs,7,0
three clubs,three clubs,7,0
every cow,every cow,7,0
two cruisers,two cruisers,7,0
four cylinders,four cylinders,7,0
all checks,all checks,7,0
those trains,those trains,6.5,0.5
that party,that party,7,0
this committee,this committee,7,0
these teams,these teams,7,0
four hotels,four hotels,7,0
all rabbits,all rabbits,7,0
four elephants,four elephants,7,0
two lengths,two lengths,7,0
that credit,that credit,7,0
these days,these days,7,0
two occasions,two occasions,7,0
four balls,four balls,7,0
that land,that land,7,0
every interest,every interest,7,0
two pubs,two pubs,5,0
all artists,all artists,7,0
that assignment,that assignment,7,0
